web_scraper_order,web_scraper_start_url,data,data2,image,data3,data4,data5,data6,data7,data8,Non,Prix,Adresse,Image
"1766875746-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg","CFA","Louga, Sénégal","5","350 000CFA","Bœufs","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg","CFA","Mbour, Sénégal","5","2 000 000CFA","Vaches laitières","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2675855_uploaded_image1_1601992602.jpg","CFA","Louga, Sénégal","5","200 000CFA","Chèvre Bouc de race","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2673741_uploaded_image2_1601909107.jpeg","CFA","Diamniadio, Sénégal","5","100 000CFA","Bouc chèvre","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2663712_uploaded_image1_1601554766.jpg","CFA","Dakar, Sénégal","5","225 000CFA","Paon bleu","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2637004_uploaded_image1_1600508302.jpg","","Gorée, Dakar, Sénégal","5","Prix sur demande","Chatons","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2630503_uploaded_image1_1600266971.jpg","CFA","Mbour, Sénégal","5","100 000CFA","Oie","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2583338_uploaded_image1_1598650419.jpg","","Kaffrine, Sénégal","5","Prix sur demande","Oiseau Maknol","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg","CFA","Diourbel, Sénégal","5","80 000CFA","Oies","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
"1766875746-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","favorite_border","location_on","https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg","","Saint Louis, Sénégal","5","Prix sur demande","Vaches hollandaises","années","Bœufs","350 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2694719_uploaded_image1_1602688985.jpg"
